Code,Product name,Description,,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-LivenessDetection,Liveness Detection,"The Liveness Detection product is designed based on facial detection algorithms and liveness detection technology. It captures dynamic images in real-time through a camera and identifies facial features to verify user authenticity. This product effectively prevents identity fraud and significantly enhances the credibility of remote online transactions, thoroughly eliminating fraudulent activities such as using static photos, pre-recorded videos, or masks.",,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-LivenessDetection,Liveness Detection,"The Liveness Detection product is designed based on facial detection algorithms and liveness detection technology. It captures dynamic images in real-time through a camera and identifies facial features to verify user authenticity. This product effectively prevents identity fraud and significantly enhances the credibility of remote online transactions, thoroughly eliminating fraudulent activities such as using static photos, pre-recorded videos, or masks.",,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-LivenessDetection,Liveness Detection,"The Liveness Detection product is designed based on facial detection algorithms and liveness detection technology. It captures dynamic images in real-time through a camera and identifies facial features to verify user authenticity. This product effectively prevents identity fraud and significantly enhances the credibility of remote online transactions, thoroughly eliminating fraudulent activities such as using static photos, pre-recorded videos, or masks.",,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-FaceComparison,Face Comparison,The Face Comparison product is used to compare the similarity between two input facial images and return a corresponding similarity score.,,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-FaceComparison,Face Comparison,The Face Comparison product is used to compare the similarity between two input facial images and return a corresponding similarity score.,,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-FaceComparison,Face Comparison,The Face Comparison product is used to compare the similarity between two input facial images and return a corresponding similarity score.,,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-FaceComparison,Face Comparison,The Face Comparison product is used to compare the similarity between two input facial images and return a corresponding similarity score.,,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-FaceComparison,Face Comparison,The Face Comparison product is used to compare the similarity between two input facial images and return a corresponding similarity score.,,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-FaceSearch,Face Search,"Face Search Service is an AI-driven visual recognition technology. Its core function is to rapidly and accurately retrieve target faces from massive face databases. Primarily applied in scenarios such as financial services and online account registration, it mitigates risks including duplicate registrations and batch identity fraud risk.",,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-FaceSearch,Face Search,"Face Search Service is an AI-driven visual recognition technology. Its core function is to rapidly and accurately retrieve target faces from massive face databases. Primarily applied in scenarios such as financial services and online account registration, it mitigates risks including duplicate registrations and batch identity fraud risk.",,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-FaceSearch,Face Search,"Face Search Service is an AI-driven visual recognition technology. Its core function is to rapidly and accurately retrieve target faces from massive face databases. Primarily applied in scenarios such as financial services and online account registration, it mitigates risks including duplicate registrations and batch identity fraud risk.",,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-FaceSearch,Face Search,"Face Search Service is an AI-driven visual recognition technology. Its core function is to rapidly and accurately retrieve target faces from massive face databases. Primarily applied in scenarios such as financial services and online account registration, it mitigates risks including duplicate registrations and batch identity fraud risk.",,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-FaceSearch,Face Search,"Face Search Service is an AI-driven visual recognition technology. Its core function is to rapidly and accurately retrieve target faces from massive face databases. Primarily applied in scenarios such as financial services and online account registration, it mitigates risks including duplicate registrations and batch identity fraud risk.",,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-DeviceFingerprint,Device Fingerprint,-,,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-DeviceFingerprint,Device Fingerprint,-,,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-DeviceFingerprint,Device Fingerprint,-,,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-DeviceFingerprint,Device Fingerprint,-,,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-DeviceFingerprint,Device Fingerprint,-,,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-FraudFace,Fraud Face,ADVANCE Fraud Face detects fraud risks in real time by using a face photo. It shows the high relevance between fraud behaviour and post-loan performance.,,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-FraudFace,Fraud Face,ADVANCE Fraud Face detects fraud risks in real time by using a face photo. It shows the high relevance between fraud behaviour and post-loan performance.,,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-FraudFace,Fraud Face,ADVANCE Fraud Face detects fraud risks in real time by using a face photo. It shows the high relevance between fraud behaviour and post-loan performance.,,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-FraudFace,Fraud Face,ADVANCE Fraud Face detects fraud risks in real time by using a face photo. It shows the high relevance between fraud behaviour and post-loan performance.,,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-FraudFace,Fraud Face,ADVANCE Fraud Face detects fraud risks in real time by using a face photo. It shows the high relevance between fraud behaviour and post-loan performance.,,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-RiskyFace,Risky Face,"ADVANCE unique Risky Faces blacklist database stores the facial features of the users with a history of serious defaults and frauds. When the blacklist users apply for a loan through a false identity, they will be uncovered right away by querying their face in the Risky Faces database.",,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-RiskyFace,Risky Face,"ADVANCE unique Risky Faces blacklist database stores the facial features of the users with a history of serious defaults and frauds. When the blacklist users apply for a loan through a false identity, they will be uncovered right away by querying their face in the Risky Faces database.",,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-RiskyFace,Risky Face,"ADVANCE unique Risky Faces blacklist database stores the facial features of the users with a history of serious defaults and frauds. When the blacklist users apply for a loan through a false identity, they will be uncovered right away by querying their face in the Risky Faces database.",,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-RiskyFace,Risky Face,"ADVANCE unique Risky Faces blacklist database stores the facial features of the users with a history of serious defaults and frauds. When the blacklist users apply for a loan through a false identity, they will be uncovered right away by querying their face in the Risky Faces database.",,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-RiskyFace,Risky Face,"ADVANCE unique Risky Faces blacklist database stores the facial features of the users with a history of serious defaults and frauds. When the blacklist users apply for a loan through a false identity, they will be uncovered right away by querying their face in the Risky Faces database.",,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-DatabaseIDValidation,Database ID Validation(ID Dukcapil),"Database ID Validation is a robust solution designed to streamline identity verification. Simply input relevant data, and our product instantly cross-references it against official, trusted data sources. It swiftly delivers precise comparison results, ensuring accuracy and reliability. Ideal for organizations needing quick, foolproof ID validation, it minimizes errors and boosts efficiency in data management.",,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-DatabaseIDValidation,Database ID Validation(TH Dopa),"Database ID Validation is a robust solution designed to streamline identity verification. Simply input relevant data, and our product instantly cross-references it against official, trusted data sources. It swiftly delivers precise comparison results, ensuring accuracy and reliability. Ideal for organizations needing quick, foolproof ID validation, it minimizes errors and boosts efficiency in data management.",,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-DatabaseIDValidation,Database ID Validation,"Database ID Validation is a robust solution designed to streamline identity verification. Simply input relevant data, and our product instantly cross-references it against official, trusted data sources. It swiftly delivers precise comparison results, ensuring accuracy and reliability. Ideal for organizations needing quick, foolproof ID validation, it minimizes errors and boosts efficiency in data management.",,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-DatabaseIDValidation,Database ID Validation,"Database ID Validation is a robust solution designed to streamline identity verification. Simply input relevant data, and our product instantly cross-references it against official, trusted data sources. It swiftly delivers precise comparison results, ensuring accuracy and reliability. Ideal for organizations needing quick, foolproof ID validation, it minimizes errors and boosts efficiency in data management.",,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-DatabaseIDValidation,Database ID Validation,"Database ID Validation is a robust solution designed to streamline identity verification. Simply input relevant data, and our product instantly cross-references it against official, trusted data sources. It swiftly delivers precise comparison results, ensuring accuracy and reliability. Ideal for organizations needing quick, foolproof ID validation, it minimizes errors and boosts efficiency in data management.",,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-AMLMonitoring,AML Monitoring,"The AML Monitoring System helps financial institutions monitor and detect potential money laundering activities in real-time. By analyzing customer transactions, amounts, and patterns, the system automatically identifies suspicious activities and generates Suspicious Activity Reports (SARs). It combines rule-based engines and machine learning models to detect behaviors such as frequent small deposits, large cross-border transfers, etc.The system provides real-time risk assessment, enabling quick responses to compliance requirements. With high scalability, it supports integration with other compliance systems. Advanced analytical techniques reduce false positives and missed detections, enhancing the efficiency and accuracy of anti-money laundering monitoring.",,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-AMLMonitoring,AML Monitoring,"The AML Monitoring System helps financial institutions monitor and detect potential money laundering activities in real-time. By analyzing customer transactions, amounts, and patterns, the system automatically identifies suspicious activities and generates Suspicious Activity Reports (SARs). It combines rule-based engines and machine learning models to detect behaviors such as frequent small deposits, large cross-border transfers, etc.The system provides real-time risk assessment, enabling quick responses to compliance requirements. With high scalability, it supports integration with other compliance systems. Advanced analytical techniques reduce false positives and missed detections, enhancing the efficiency and accuracy of anti-money laundering monitoring.",,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-AMLMonitoring,AML Monitoring,"The AML Monitoring System helps financial institutions monitor and detect potential money laundering activities in real-time. By analyzing customer transactions, amounts, and patterns, the system automatically identifies suspicious activities and generates Suspicious Activity Reports (SARs). It combines rule-based engines and machine learning models to detect behaviors such as frequent small deposits, large cross-border transfers, etc.The system provides real-time risk assessment, enabling quick responses to compliance requirements. With high scalability, it supports integration with other compliance systems. Advanced analytical techniques reduce false positives and missed detections, enhancing the efficiency and accuracy of anti-money laundering monitoring.",,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-AMLMonitoring,AML Monitoring,"The AML Monitoring System helps financial institutions monitor and detect potential money laundering activities in real-time. By analyzing customer transactions, amounts, and patterns, the system automatically identifies suspicious activities and generates Suspicious Activity Reports (SARs). It combines rule-based engines and machine learning models to detect behaviors such as frequent small deposits, large cross-border transfers, etc.The system provides real-time risk assessment, enabling quick responses to compliance requirements. With high scalability, it supports integration with other compliance systems. Advanced analytical techniques reduce false positives and missed detections, enhancing the efficiency and accuracy of anti-money laundering monitoring.",,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-AMLMonitoring,AML Monitoring,"The AML Monitoring System helps financial institutions monitor and detect potential money laundering activities in real-time. By analyzing customer transactions, amounts, and patterns, the system automatically identifies suspicious activities and generates Suspicious Activity Reports (SARs). It combines rule-based engines and machine learning models to detect behaviors such as frequent small deposits, large cross-border transfers, etc.The system provides real-time risk assessment, enabling quick responses to compliance requirements. With high scalability, it supports integration with other compliance systems. Advanced analytical techniques reduce false positives and missed detections, enhancing the efficiency and accuracy of anti-money laundering monitoring.",,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-AMLScreeningSearch,AML Screening Search,"The AML Name Screening system helps financial institutions screen customers and counterparties against global sanction lists, PEP lists, and other high-risk databases. It compares customer data, such as names and addresses, to identify potential risks in real-time.The system automates the screening process, generating detailed risk reports for high-risk matches, and supports seamless integration with other compliance systems. Its efficient matching algorithms minimize false positives and enhance detection accuracy.",,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-AMLScreeningSearch,AML Screening Search,"The AML Name Screening system helps financial institutions screen customers and counterparties against global sanction lists, PEP lists, and other high-risk databases. It compares customer data, such as names and addresses, to identify potential risks in real-time.The system automates the screening process, generating detailed risk reports for high-risk matches, and supports seamless integration with other compliance systems. Its efficient matching algorithms minimize false positives and enhance detection accuracy.",,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-AMLScreeningSearch,AML Screening Search,"The AML Name Screening system helps financial institutions screen customers and counterparties against global sanction lists, PEP lists, and other high-risk databases. It compares customer data, such as names and addresses, to identify potential risks in real-time.The system automates the screening process, generating detailed risk reports for high-risk matches, and supports seamless integration with other compliance systems. Its efficient matching algorithms minimize false positives and enhance detection accuracy.",,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-AMLScreeningSearch,AML Screening Search,"The AML Name Screening system helps financial institutions screen customers and counterparties against global sanction lists, PEP lists, and other high-risk databases. It compares customer data, such as names and addresses, to identify potential risks in real-time.The system automates the screening process, generating detailed risk reports for high-risk matches, and supports seamless integration with other compliance systems. Its efficient matching algorithms minimize false positives and enhance detection accuracy.",,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-AMLScreeningSearch,AML Screening Search,"The AML Name Screening system helps financial institutions screen customers and counterparties against global sanction lists, PEP lists, and other high-risk databases. It compares customer data, such as names and addresses, to identify potential risks in real-time.The system automates the screening process, generating detailed risk reports for high-risk matches, and supports seamless integration with other compliance systems. Its efficient matching algorithms minimize false positives and enhance detection accuracy.",,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-IdentityVerification,Identity Verification,"Identity Verification, also named as eKYC (Electronic Know Your Customer) Solution is a digital customer identification and verification solution that complies with regulatory requirements. It utilizes AI, OCR (Optical Character Recognition), and biometric technologies to authenticate customer identity in real-time, securely and reliably. It simplifies the customer onboarding process while mitigating the risks of fraud and identity theft. eKYC Solution is recommended for industries such as banking, insurance, fintech, and telecom where customer identity verification is crucial.",,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-IdentityVerification,Identity Verification,"Identity Verification, also named as eKYC (Electronic Know Your Customer) Solution is a digital customer identification and verification solution that complies with regulatory requirements. It utilizes AI, OCR (Optical Character Recognition), and biometric technologies to authenticate customer identity in real-time, securely and reliably. It simplifies the customer onboarding process while mitigating the risks of fraud and identity theft. eKYC Solution is recommended for industries such as banking, insurance, fintech, and telecom where customer identity verification is crucial.",,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-IdentityVerification,Identity Verification,"Identity Verification, also named as eKYC (Electronic Know Your Customer) Solution is a digital customer identification and verification solution that complies with regulatory requirements. It utilizes AI, OCR (Optical Character Recognition), and biometric technologies to authenticate customer identity in real-time, securely and reliably. It simplifies the customer onboarding process while mitigating the risks of fraud and identity theft. eKYC Solution is recommended for industries such as banking, insurance, fintech, and telecom where customer identity verification is crucial.",,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-IdentityVerification,Identity Verification,"Identity Verification, also named as eKYC (Electronic Know Your Customer) Solution is a digital customer identification and verification solution that complies with regulatory requirements. It utilizes AI, OCR (Optical Character Recognition), and biometric technologies to authenticate customer identity in real-time, securely and reliably. It simplifies the customer onboarding process while mitigating the risks of fraud and identity theft. eKYC Solution is recommended for industries such as banking, insurance, fintech, and telecom where customer identity verification is crucial.",,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-IdentityVerification,Identity Verification,"Identity Verification, also named as eKYC (Electronic Know Your Customer) Solution is a digital customer identification and verification solution that complies with regulatory requirements. It utilizes AI, OCR (Optical Character Recognition), and biometric technologies to authenticate customer identity in real-time, securely and reliably. It simplifies the customer onboarding process while mitigating the risks of fraud and identity theft. eKYC Solution is recommended for industries such as banking, insurance, fintech, and telecom where customer identity verification is crucial.",,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-DigitalSignature,Digital Signature,"Digital Signature solution provides a complete solution that saves time in online contract signing and ensures legal compliance; it also uses advanced artificial intelligence technology and powerful verification mechanisms to ensure the integrity and authenticity of customer identities, helping organizations respond to and prevent fraudulent activities.",,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-DigitalSignature,Digital Signature,"Digital Signature solution provides a complete solution that saves time in online contract signing and ensures legal compliance; it also uses advanced artificial intelligence technology and powerful verification mechanisms to ensure the integrity and authenticity of customer identities, helping organizations respond to and prevent fraudulent activities.",,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-DigitalSignature,Digital Signature,"Digital Signature solution provides a complete solution that saves time in online contract signing and ensures legal compliance; it also uses advanced artificial intelligence technology and powerful verification mechanisms to ensure the integrity and authenticity of customer identities, helping organizations respond to and prevent fraudulent activities.",,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-DigitalSignature,Digital Signature,"Digital Signature solution provides a complete solution that saves time in online contract signing and ensures legal compliance; it also uses advanced artificial intelligence technology and powerful verification mechanisms to ensure the integrity and authenticity of customer identities, helping organizations respond to and prevent fraudulent activities.",,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-DigitalSignature,Digital Signature,"Digital Signature solution provides a complete solution that saves time in online contract signing and ensures legal compliance; it also uses advanced artificial intelligence technology and powerful verification mechanisms to ensure the integrity and authenticity of customer identities, helping organizations respond to and prevent fraudulent activities.",,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-NonDoc,Non-Document Verification(NG BVN/NIN),"By inputting the BVN number, it conducts a seamless liveness check, ensuring the authenticity of the individual. Leveraging official databases, the system cross-references and compares the retrieved data with the input information, delivering rapid and accurate verification results. This efficient process reduces manual efforts and enhances security, making it the go-to choice for hassle-free identity verification in NGA.",,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-NonDoc,Non-Document Verification(NG BVN/NIN),"By inputting the BVN number, it conducts a seamless liveness check, ensuring the authenticity of the individual. Leveraging official databases, the system cross-references and compares the retrieved data with the input information, delivering rapid and accurate verification results. This efficient process reduces manual efforts and enhances security, making it the go-to choice for hassle-free identity verification in NGA.",,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-NonDoc,Non-Document Verification(NG BVN/NIN),"By inputting the BVN number, it conducts a seamless liveness check, ensuring the authenticity of the individual. Leveraging official databases, the system cross-references and compares the retrieved data with the input information, delivering rapid and accurate verification results. This efficient process reduces manual efforts and enhances security, making it the go-to choice for hassle-free identity verification in NGA.",,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-NonDoc,Non-Document Verification(NG BVN/NIN),"By inputting the BVN number, it conducts a seamless liveness check, ensuring the authenticity of the individual. Leveraging official databases, the system cross-references and compares the retrieved data with the input information, delivering rapid and accurate verification results. This efficient process reduces manual efforts and enhances security, making it the go-to choice for hassle-free identity verification in NGA.",,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-NonDoc,Non-Document Verification(NG BVN/NIN),"By inputting the BVN number, it conducts a seamless liveness check, ensuring the authenticity of the individual. Leveraging official databases, the system cross-references and compares the retrieved data with the input information, delivering rapid and accurate verification results. This efficient process reduces manual efforts and enhances security, making it the go-to choice for hassle-free identity verification in NGA.",,,,,,,,,,,,,,,,,
